Column1.id,Column1.bedrooms,Column1.price
c_7223759366,1,1900
c_7223964878,2,1900
c_7224052793,1,1900
c_7224099722,2,1900
c_7224198650,1,1900
c_7224618573,2,1900
c_7224675949,1,1900
c_7224762520,2,1900
c_7224915772,1,1900
c_7225147406,1,1900
k_1510465899,1,1900
k_1512268788,1,1900
k_1513850794,1,1900
k_1516435069,1,1900
k_1517325823,1,1900
k_1517342728,1,1900
k_1517760489,1,1900
k_1517764440,1,1900
k_1517769285,1,1900
k_1517773667,1,1900
k_1517779119,1,1900
k_1517779476,1,1900
k_1517784635,1,1900
k_1517843987,1,1900
k_1517854799,2,1900
k_1517859402,1,1900
k_1517870590,1,1900
k_1517890676,1,1900
k_1517890899,1,1900
c_7224974926,2,1910
c_7198182795,2,1920
c_7206858092,1,1920
c_7219901589,2,1920
c_7173714809,1,1925
c_7197994147,1,1925
c_7198089849,1,1925
c_7200628304,2,1925
c_7201529426,2,1925
c_7209760569,1,1925
c_7212889252,2,1925
c_7214716594,1,1925
c_7218767840,1,1925
c_7221085919,1,1925
k_1475834057,2,1925
c_7191251394,1,1930
c_7201190538,1,1930
c_7216415638,1,1930
c_7190912207,1,1940
c_7200437776,1,1940
c_7202758286,1,1940
c_7211029196,1,1940
c_7220894700,2,1940
k_1517468681,1,1941
c_7183923979,1,1945
c_7193613438,1,1945
c_7210393711,1,1945
c_7217560705,2,1945
c_7218629061,1,1945
c_7222895611,2,1945
c_7224272773,1,1945
c_7219861630,1,1949
k_1505788420,1,1949
c_7172920103,2,1950
c_7177012114,2,1950
c_7180310359,3,1950
c_7184914205,1,1950
c_7187697133,1,1950
c_7188452074,1,1950
c_7188487886,1,1950
c_7188541290,1,1950
c_7188952364,2,1950
c_7189014295,1,1950
c_7189655436,1,1950
c_7190679733,1,1950
c_7191020670,1,1950
c_7191022163,1,1950
c_7191023778,1,1950
c_7191676662,2,1950
c_7191857777,1,1950
c_7192347094,1,1950
c_7192349853,1,1950
c_7192446323,1,1950
c_7193019883,1,1950
c_7193733299,2,1950
c_7194100903,1,1950
c_7194244877,2,1950
c_7194309267,1,1950
c_7194373939,1,1950
c_7194475786,1,1950
c_7194664123,1,1950
c_7194707514,2,1950
c_7194905826,3,1950
c_7195094116,1,1950
c_7195151838,1,1950
c_7195156512,1,1950
c_7195269801,1,1950
c_7195272392,1,1950
c_7195501218,1,1950
c_7196273089,2,1950
c_7196275268,2,1950
c_7196725422,1,1950
c_7197374818,1,1950
c_7197448933,1,1950
c_7197983484,1,1950
c_7198094475,1,1950
c_7198534301,1,1950
c_7198562669,1,1950
c_7198844278,1,1950
c_7199079443,1,1950
c_7199156678,1,1950
c_7199227762,2,1950
c_7199231350,2,1950
c_7199306158,1,1950
c_7199714925,1,1950
c_7199829453,1,1950
c_7200450971,1,1950
c_7200688019,1,1950
c_7200832369,1,1950
c_7200886844,1,1950
c_7200996162,1,1950
