Column1.id,Column1.sqft,Column1.price
c_7207077249,700,2275
c_7211067598,700,2275
c_7214732357,1200,2275
c_7221808819,650,2275
c_7188479000,688,2280
c_7201594797,750,2280
c_7203869677,800,2280
c_7205496602,750,2280
c_7208975943,620,2280
c_7213936071,697,2280
c_7214029585,697,2280
c_7218558428,697,2280
c_7191335994,750,2288
c_7191276503,1000,2290
c_7196224664,604,2290
c_7205370881,950,2290
c_7207835091,750,2290
c_7213337413,600,2290
c_7213940704,700,2290
k_1517865958,768,2290
c_7217946866,800,2291
c_7183705084,520,2295
c_7187843643,720,2295
c_7187877141,850,2295
c_7189022331,1200,2295
c_7192378205,639,2295
c_7192389265,620,2295
c_7193691309,600,2295
c_7197905729,799,2295
c_7198701425,1000,2295
c_7200180807,1900,2295
c_7200959292,600,2295
c_7201732763,1900,2295
c_7202205763,520,2295
c_7204534138,1900,2295
c_7206305566,825,2295
c_7206934721,1300,2295
c_7208623605,720,2295
c_7208641233,850,2295
c_7208794599,800,2295
c_7210106026,1900,2295
c_7213122148,2000,2295
c_7214017218,799,2295
c_7214403565,1900,2295
c_7215152005,470,2295
c_7216853128,700,2295
c_7216958557,1900,2295
c_7217372946,850,2295
c_7217523569,450,2295
c_7217956010,600,2295
c_7219703828,1900,2295
c_7220672684,520,2295
c_7222281287,1700,2295
c_7222989903,1900,2295
c_7223057882,690,2295
c_7224229520,1200,2295
c_7224478162,1200,2295
c_7224876930,1200,2295
c_7224989963,1200,2295
c_7197670706,600,2299
c_7205030197,850,2299
c_7206406111,900,2299
c_7206832501,950,2299
c_7222721999,700,2299
k_1504681587,649,2299
k_1509892365,700,2299
k_1512491444,798,2299
k_1513433963,686,2299
c_7180854103,899,2300
c_7184158602,1000,2300
c_7184771927,950,2300
c_7184776940,1050,2300
c_7185194383,700,2300
c_7185919995,560,2300
c_7188452840,800,2300
c_7188649913,710,2300
c_7191079320,652,2300
c_7191102719,1000,2300
c_7191339310,650,2300
c_7191342958,750,2300
c_7191403395,950,2300
c_7192543730,750,2300
c_7193008881,1000,2300
c_7193431513,1000,2300
c_7193643651,600,2300
c_7193724559,780,2300
c_7193759810,754,2300
c_7194263324,1400,2300
c_7194410134,607,2300
c_7194561674,900,2300
c_7194614686,1000,2300
c_7194674170,763,2300
c_7195440253,1000,2300
c_7195462741,750,2300
c_7195960856,1000,2300
c_7196046946,1000,2300
c_7196127770,640,2300
c_7196438654,600,2300
c_7196699798,675,2300
c_7196703621,1000,2300
c_7197237156,700,2300
c_7197345518,1000,2300
